Date,Clics,Impressions,CTR,Position
2026-05-18,0,0,,
2026-05-19,0,0,,
2026-05-20,0,0,,
2026-05-21,0,0,,
2026-05-22,0,0,,
2026-05-23,0,0,,
2026-05-24,0,0,,
2026-05-25,0,0,,
2026-05-26,0,4,0%,1.5
2026-05-27,0,0,,
2026-05-28,0,11,0%,14.9
2026-05-29,0,8,0%,34.9
2026-05-30,0,37,0%,23
2026-05-31,1,27,3.7%,25.4
2026-06-01,0,48,0%,32.6
2026-06-02,0,46,0%,35.9
2026-06-03,0,83,0%,42.3
2026-06-04,1,170,0.59%,53.1
2026-06-05,0,244,0%,54.6
2026-06-06,0,327,0%,58
2026-06-07,0,131,0%,50.3
2026-06-08,0,7,0%,54.3
2026-06-09,0,8,0%,58.5
2026-06-10,0,33,0%,57.6
2026-06-11,0,14,0%,68
2026-06-12,0,1,0%,13
2026-06-13,0,0,,
2026-06-14,0,1,0%,10
2026-06-15,0,1,0%,97
2026-06-16,0,4,0%,22.5
2026-06-17,0,1,0%,12
2026-06-18,0,4,0%,50
2026-06-19,0,2,0%,7.5
2026-06-20,0,7,0%,8.6
2026-06-21,0,2,0%,1
2026-06-22,1,6,16.67%,14.2
2026-06-23,0,2,0%,30
2026-06-24,0,2,0%,34.5
2026-06-25,0,6,0%,46.8
2026-06-26,0,5,0%,44.4
2026-06-27,0,9,0%,43
2026-06-28,0,3,0%,9.3
2026-06-29,0,0,,
2026-06-30,0,3,0%,10
2026-07-01,0,0,,
2026-07-02,0,14,0%,48.9
2026-07-03,0,6,0%,52.7
2026-07-04,0,20,0%,52.6
2026-07-05,0,24,0%,54.6
2026-07-06,0,22,0%,61.4
2026-07-07,0,9,0%,52.4
2026-07-08,0,16,0%,64.3
2026-07-09,0,29,0%,50
2026-07-10,0,126,0%,40.9
2026-07-11,0,74,0%,45.9
2026-07-12,0,95,0%,52.2
2026-07-13,0,58,0%,54.5
2026-07-14,0,52,0%,51.9
2026-07-15,0,31,0%,46.6
2026-07-16,0,12,0%,58.2
2026-07-17,0,14,0%,48.9
2026-07-18,0,9,0%,20.7
2026-07-19,0,12,0%,55.8
2026-07-20,0,20,0%,69.8
2026-07-21,0,13,0%,64.5
2026-07-22,0,9,0%,59.9
2026-07-23,0,7,0%,64.4
2026-07-24,0,3,0%,49
2026-07-25,0,3,0%,66.3
2026-07-26,0,5,0%,61.6
2026-07-27,0,7,0%,54.3
2026-07-28,0,8,0%,60.1
2026-07-29,0,4,0%,59.2
2026-07-30,0,1,0%,59
2026-07-31,0,1,0%,45
2026-08-01,0,1,0%,43
2026-08-02,0,2,0%,58
2026-08-03,0,5,0%,50.8
