Pays,Clics,Impressions,CTR,Position
États-Unis,2,730,0.27%,55.66
Indonésie,1,65,1.54%,30.26
Pays-Bas,0,95,0%,57.66
Royaume-Uni,0,89,0%,65.01
Philippines,0,76,0%,46.72
Vietnam,0,73,0%,36.29
Australie,0,69,0%,61.84
Brésil,0,51,0%,41.88
Espagne,0,49,0%,64.57
Inde,0,46,0%,53
Pakistan,0,44,0%,34.07
Italie,0,43,0%,63.26
Égypte,0,33,0%,38.42
Canada,0,33,0%,44.48
Bangladesh,0,32,0%,36.25
Malaisie,0,25,0%,38
Mexique,0,25,0%,38.6
Allemagne,0,24,0%,54.75
Israël,0,23,0%,54.7
Ukraine,0,23,0%,61.96
Suède,0,22,0%,55.64
Arabie Saoudite,0,21,0%,49.33
Colombie,0,16,0%,36.69
Maroc,0,13,0%,33.85
Norvège,0,13,0%,48.31
Thaïlande,0,11,0%,39.27
Danemark,0,10,0%,27.4
Russie,0,10,0%,51
France,0,9,0%,18.78
Hong-Kong,0,9,0%,26.11
Équateur,0,9,0%,39.89
Argentine,0,9,0%,51.67
Kenya,0,8,0%,10
Afrique du Sud,0,8,0%,42.5
Autriche,0,7,0%,53.43
Grèce,0,6,0%,46.83
Émirats Arabes Unis,0,6,0%,49.5
Chili,0,5,0%,25.4
Finlande,0,5,0%,26.6
Chine,0,4,0%,14
Nouvelle-Zélande,0,4,0%,14
Iran,0,4,0%,14.25
République Dominicaine,0,4,0%,28
Nigéria,0,4,0%,33.75
Paraguay,0,4,0%,35.5
Irak,0,4,0%,38.5
Turquie,0,4,0%,40
Algérie,0,4,0%,46.5
Venezuela,0,4,0%,55.75
Estonie,0,3,0%,10
Japon,0,3,0%,14
Serbie,0,3,0%,16.33
Cambodge,0,3,0%,21.67
Jordanie,0,3,0%,22.33
Taïwan,0,3,0%,22.33
Belgique,0,3,0%,27
Portugal,0,3,0%,30.67
Roumanie,0,3,0%,57.33
Biélorussie,0,3,0%,58.33
Irlande,0,3,0%,59.33
Corée du Sud,0,3,0%,64
Singapour,0,3,0%,68.67
Palestine,0,2,0%,10.5
Pologne,0,2,0%,14
Qatar,0,2,0%,21.5
Népal,0,2,0%,26
Tunisie,0,2,0%,31
Trinité-et-Tobago,0,2,0%,36.5
Oman,0,2,0%,43
Suisse,0,2,0%,75
Bénin,0,1,0%,4
Bulgarie,0,1,0%,4
Slovaquie,0,1,0%,4
République tchèque,0,1,0%,8
Kazakhstan,0,1,0%,8
Slovénie,0,1,0%,9
Tanzanie,0,1,0%,9
Croatie,0,1,0%,10
Lettonie,0,1,0%,10
El Salvador,0,1,0%,10
Jamaïque,0,1,0%,11
Zimbabwe,0,1,0%,14
Uruguay,0,1,0%,15
Macao,0,1,0%,19
Guinée,0,1,0%,32
Islande,0,1,0%,35
Bahreïn,0,1,0%,38
Afghanistan,0,1,0%,42
Brunei,0,1,0%,42
Maurice (Île),0,1,0%,42
Albanie,0,1,0%,43
Congo-Brazzaville,0,1,0%,44
Angola,0,1,0%,45
Guadeloupe,0,1,0%,48
Lituanie,0,1,0%,48
Luxembourg,0,1,0%,59
Cap-Vert,0,1,0%,66
Myanmar (Birmanie),0,1,0%,74
Sri Lanka,0,1,0%,96
